time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
366,-0.0416844410208334,-6.39532366127904e-05,-6.66865451376952e-05,-7.37665329889614e-05,-7.54811997855653e-05,-7.45350967160108e-05,-7.48073296375218e-05,-7.12776209881721e-05,-6.23461438306189e-05,-6.68354186575265e-05
367,-0.0416839358295104,-6.39276139648981e-05,-6.73225828572988e-05,-7.40154892593381e-05,-7.53942472225821e-05,-7.45479819508343e-05,-7.48716630009916e-05,-7.05297094367313e-05,-6.20717404428012e-05,-6.8279437248811e-05
368,-0.0416834320700958,-6.39021876849277e-05,-6.79562855706028e-05,-7.42635221424592e-05,-7.5307569185612e-05,-7.45608563831324e-05,-7.49357675841056e-05,-6.97853319563818e-05,-6.17984679959355e-05,-6.97189710877483e-05
369,-0.0416829297395711,-6.38769572068876e-05,-6.85876588646384e-05,-7.45106338522206e-05,-7.52211650638102e-05,-7.45737200018026e-05,-7.49996439267653e-05,-6.90444793342987e-05,-6.15263236656421e-05,-7.11540301111396e-05
370,-0.041682428834928,-6.38519219580691e-05,-6.92167083139461e-05,-7.47568266097343e-05,-7.51350342404478e-05,-7.45865728002393e-05,-7.50632925676231e-05,-6.83071423632636e-05,-6.1255304633856e-05,-7.25846242456835e-05
371,-0.0416819293531514,-6.38270813783093e-05,-6.98434394917902e-05,-7.50021026246772e-05,-7.50491761047356e-05,-7.45994147657858e-05,-7.51267140477185e-05,-6.75733118518651e-05,-6.0985408079639e-05,-7.4010763410709e-05
372,-0.0416814312912377,-6.38024348904587e-05,-7.04678579722118e-05,-7.52464641087247e-05,-7.49635900446077e-05,-7.46122458891718e-05,-7.51899089043717e-05,-6.68429786151725e-05,-6.07166311897278e-05,-7.5432457513791e-05
373,-0.0416809346461773,-6.37779819409046e-05,-7.10899693082689e-05,-7.54899132706655e-05,-7.48782754466659e-05,-7.46250661645131e-05,-7.52528776737371e-05,-6.61161334803845e-05,-6.04489711515666e-05,-7.68497164556209e-05
374,-0.0416804394149724,-6.37537219536632e-05,-7.17097790623455e-05,-7.57324523159575e-05,-7.47932317046729e-05,-7.46378755761556e-05,-7.53156208968542e-05,-6.53927672824989e-05,-6.01824251563118e-05,-7.82625501262457e-05
375,-0.0416799455946218,-6.3729654367628e-05,-7.23272927836138e-05,-7.59740834487266e-05,-7.47084582026214e-05,-7.46506741217123e-05,-7.53781391067965e-05,-6.46728708697114e-05,-5.99169903978888e-05,-7.96709684061092e-05
376,-0.0416793448514655,-6.39759813127472e-05,-7.27885364802949e-05,-7.60809049169531e-05,-7.4663976279199e-05,-7.46840438496377e-05,-7.51225394284294e-05,-6.41362019973279e-05,-6.03160440937681e-05,-8.09580984531683e-05
377,-0.0416785834465779,-6.4600746260246e-05,-7.30333335108857e-05,-7.59961493260741e-05,-7.46773412580448e-05,-7.47477624698512e-05,-7.43920579364399e-05,-6.386905704929e-05,-6.17352864962714e-05,-8.20702687252817e-05
